,id,lat,lon,slno,closest_coords
69,69,37.23044409,-80.42075191,69,['GH010042.MP4-moviepy-20240508_120507/frame_1686344232_37.2304453_-80.4207629.jpg']
70,70,37.22922588,-80.41767553,70,['GH030041.MP4-moviepy-20240508_123536/frame_1686338984_37.2292177_-80.417661.jpg']
71,71,37.22996429,-80.42564964,71,[None]
72,72,37.22596713,-80.41903192,72,['GH100041.MP4-moviepy-20240508_144629/frame_1686342712_37.2260193_-80.4188592.jpg']
73,73,37.21744312,-80.41920288,73,['GH070041.MP4-moviepy-20240508_140126/frame_1686341110_37.2174598_-80.4191196.jpg']
74,74,37.23073526,-80.42232293,74,['GH040042.MP4-moviepy-20240508_130828/frame_1686345575_37.2307403_-80.4223298.jpg']
75,75,37.22577676,-80.422522,75,[None]
76,76,37.23058692,-80.4245976,76,['GH040042.MP4-moviepy-20240508_130828/frame_1686345453_37.2306227_-80.4246367.jpg']
77,77,37.22928433,-80.42299885,77,['GH040042.MP4-moviepy-20240508_130828/frame_1686345640_37.2292666_-80.4229776.jpg']
78,78,37.2298661,-80.41844768,78,['GH030041.MP4-moviepy-20240508_123536/frame_1686339105_37.2298489_-80.4184249.jpg']
79,79,37.21463277,-80.41928385,79,[None]
80,80,37.22552854,-80.4195662,80,['GH100041.MP4-moviepy-20240508_144629/frame_1686343069_37.2254816_-80.4195048.jpg']
81,81,37.22274083,-80.42358214,81,['GH110041.MP4-moviepy-20240508_145708/frame_1686343432_37.2227472_-80.4235447.jpg']
82,82,37.22406163,-80.42586339,82,[None]
83,83,37.23106592,-80.41869107,83,[None]
84,84,37.22111832,-80.42306632,84,[None]
85,85,37.22622511,-80.42202783,85,['GH010042.MP4-moviepy-20240508_120507/frame_1686343867_37.2262361_-80.4220337.jpg']
86,86,37.22542227,-80.41796951,86,['GH100041.MP4-moviepy-20240508_144629/frame_1686342831_37.2255395_-80.4179052.jpg']
87,87,37.23140554,-80.42084232,87,[None]
88,88,37.22811868,-80.41780939,88,['GH020041.MP4-moviepy-20240508_121516/frame_1686338745_37.2280345_-80.417989.jpg']
89,89,37.22186466,-80.42425024,89,[None]
90,90,37.22531868,-80.4200394,90,[None]
91,91,37.22696651,-80.41771487,91,[None]
92,92,37.22164128,-80.41961016,92,['GH080041.MP4-moviepy-20240508_142229/frame_1686341596_37.2216996_-80.4194596.jpg']
93,93,37.22809108,-80.41642715,93,[None]
94,94,37.22421551,-80.43616475,94,['GH060042.MP4-moviepy-20240508_135052/frame_1686346674_37.2242307_-80.436194.jpg']
95,95,37.223865,-80.41958404,95,[None]
96,96,37.22541139,-80.41795283,96,['GH100041.MP4-moviepy-20240508_144629/frame_1686342830_37.2255253_-80.4178738.jpg']
97,97,37.22482194,-80.41832733,97,['GH100041.MP4-moviepy-20240508_144629/frame_1686342923_37.2249108_-80.4184698.jpg']
98,98,37.22592302,-80.41849827,98,['GH100041.MP4-moviepy-20240508_144629/frame_1686342728_37.2259017_-80.4184787.jpg']
99,99,37.23107067,-80.42067941,99,['GH010042.MP4-moviepy-20240508_120507/frame_1686344246_37.2309225_-80.4206531.jpg']
100,100,37.22370214,-80.41780794,100,[None]
101,101,37.22379991,-80.42469288,101,['GH080042.MP4-moviepy-20240508_143302/frame_1686347632_37.2236232_-80.424653.jpg']
102,102,37.22375027,-80.42936238,102,['GH050041.MP4-moviepy-20240508_131929/frame_1686340394_37.2237545_-80.4293742.jpg']
103,103,37.23060315,-80.42462775,103,['GH040042.MP4-moviepy-20240508_130828/frame_1686345453_37.230618_-80.4246435.jpg']
104,104,37.22529383,-80.43726994,104,['GH060042.MP4-moviepy-20240508_135052/frame_1686346518_37.2253387_-80.4372121.jpg']
105,105,37.22792623,-80.41813364,105,['GH020041.MP4-moviepy-20240508_121516/frame_1686338744_37.2280191_-80.4179806.jpg']
106,106,37.2310529,-80.42477734,106,[None]
107,107,37.22168122,-80.41949051,107,['GH080041.MP4-moviepy-20240508_142229/frame_1686341596_37.2216996_-80.4194596.jpg']
108,108,37.21745715,-80.43456227,108,[None]
109,109,37.22394406,-80.42342878,109,['GH090041.MP4-moviepy-20240508_143554/frame_1686342203_37.2238444_-80.4233365.jpg']
110,110,37.22492258,-80.43865131,110,['GH060042.MP4-moviepy-20240508_135052/frame_1686346581_37.2249379_-80.4386663.jpg']
111,111,37.2186597,-80.42474147,111,[None]
112,112,37.224202,-80.41916822,112,[None]
